Cumulative Stat Rank,Price ,Cumulative,Visual Rarity URL,Kong ID,Shooting,Finish,Defense,Vision,Background,Fur,Clothes,Mouth,Head,Head Accessory,Eyes,Jewellery,Owner Address,Number of Sales,Last Sale Date,Last Sale Price,Last List Date,Current Price
4486, ,201,https://rarity.tools/rumble-kong-league/view/2596,2596,38,52,50,61,Yellow,Brown,Dress,Saber Toothed,Winter Hat,,Angry Scar,,0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d,0, , , , 
4486, ,201,https://rarity.tools/rumble-kong-league/view/2597,2597,36,81,38,46,Purple,Sky Blue,Shaolin Vest,Ooh,Winter Hat,3D Glasses,Bloodshot,,0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d,0, , , , 
2461, ,219,https://rarity.tools/rumble-kong-league/view/2598,2598,53,58,58,50,Brown,Black,Yellow Suit,Gold Scream,Blonde Bun,Exotic Earring,Sad,,0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d,0, , , , 
7824, ,173,https://rarity.tools/rumble-kong-league/view/2599,2599,51,45,40,37,Red,Black,Lab Coat,Regular,Chopsticks Bun,,Bloodshot,,0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d,0, , , , 
7062, ,180,https://rarity.tools/rumble-kong-league/view/2600,2600,51,77,34,18,Light Blue,Pink,Red Kimono,Saber Toothed,Red Bandana,Gem Earring,Wide Scar,,0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d,0, , , , 
6617, ,184,https://rarity.tools/rumble-kong-league/view/2601,2601,32,52,38,62,Dark Blue,Sky Blue,Shirt And Tie,Scream,RKL Cap Sideways,,Wide,,0x9423b33a5642a7e0cd8272b8f5d0a01e1768b3bc,1,8/31/2021,0.969 ETH, , 
6505, ,185,https://rarity.tools/rumble-kong-league/view/2602,2602,40,33,55,57,Gold,Pink,RKL Tee,Gold Scream,Chopsticks Bun,Red Shades,Bloodshot,,0x1c7dab0dcab986827f664f9a236427d83f498c9b,0, , , , 
5110,3.6969,196,https://rarity.tools/rumble-kong-league/view/2603,2603,63,37,60,36,Gold,Brown,,Ooh,Chopsticks Bun,,Bloodshot,,0x1c7dab0dcab986827f664f9a236427d83f498c9b,0, , ,9/5/2021 18:52,3.6969 ETH
4486, ,201,https://rarity.tools/rumble-kong-league/view/2604,2604,44,69,43,45,Pink,Red,Shirt And Tie,Scream,,,Angry,,0xf5324be5db41ba9e464e14f3940eccde98993682,1,9/4/2021,1.269 ETH, , 
2031, ,223,https://rarity.tools/rumble-kong-league/view/2605,2605,46,58,36,83,Pink,Brown,Lab Coat,Drool,Green Beret,,Sad,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
3191, ,212,https://rarity.tools/rumble-kong-league/view/2606,2606,44,36,67,65,Pink,Pink,Striped Tee,Ooh,,,Regular,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
1031, ,237,https://rarity.tools/rumble-kong-league/view/2607,2607,48,56,61,72,Grey,Brown,Hawaii Shirt,Regular,Blue Pigtails,Vibe Glasses,Wide,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
9961, ,114,https://rarity.tools/rumble-kong-league/view/2608,2608,10,23,15,66,Pink,Sky Blue,Shaolin Vest,Regular,Blonde Bun,Gold Stud,Wide,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
7624, ,175,https://rarity.tools/rumble-kong-league/view/2609,2609,61,32,42,40,Yellow,Pink,Shaolin Vest,Kiss,Bowler,,Angry Wink,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
8085, ,170,https://rarity.tools/rumble-kong-league/view/2610,2610,21,53,60,36,Purple,White Noise,Tracksuit,Tongue Out,Beanie,,Angry Wink,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
4113, ,204,https://rarity.tools/rumble-kong-league/view/2611,2611,64,40,61,39,Light Blue,Sky Blue,Trippy Tee,Drool,,,Closed,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
1606, ,228,https://rarity.tools/rumble-kong-league/view/2612,2612,57,54,64,53,Pink,Red,Fusion Gi,Ooh,RKL Cap Forward,Gold Stud,Closed,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
2146, ,222,https://rarity.tools/rumble-kong-league/view/2613,2613,42,53,45,82,Dark Blue,Pink,RKL Tee,Shows Teeth,,,Closed,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
2262, ,221,https://rarity.tools/rumble-kong-league/view/2614,2614,59,80,56,26,Light Grey,White Noise,Shaolin Vest,Cigar,Beanie,3D Glasses,Closed Scar,,0xbdbfe5f4d8775472b0398f88fc378ec2e5518558,0, , , , 
9690, ,139,https://rarity.tools/rumble-kong-league/view/2615,2615,28,28,38,45,Brown,Black,Yellow Suit,Regular,Blue Pigtails,,Wide,,0x11d0f0653eed2adffda6a722258661a902ad5abe,1,8/3/2021,0.06 ETH, , 
150, ,266,https://rarity.tools/rumble-kong-league/view/2616,2616,75,86,40,65,Light Grey,Black,Green Kimono,Regular,Green Beret,Blue Shades,Regular,,0xaa54fa7c21aa518787208923d8d173f2b22658ff,0, , , , 
8160, ,169,https://rarity.tools/rumble-kong-league/view/2617,2617,48,43,46,32,Brown,Gold,Pimp Jacket,Bubble Gum,Gold Horns,,Wide,,0x7a9fe22691c811ea339d9b73150e6911a5343dca,2,9/7/2021,19.9 ETH, , 
9966, ,113,https://rarity.tools/rumble-kong-league/view/2618,2618,31,25,29,28,Pink,Grey,White Tee,Shows Teeth,Chopsticks Bun,,Regular,,0x4a6166413509131c1c455923c29a171fc764ffd8,0, , , , 
1777, ,226,https://rarity.tools/rumble-kong-league/view/2619,2619,48,62,48,68,Light Blue,Pink,Cheetah Dego Tee,Regular,Ski Glasses,,Wide,,0xb21910d78f53ba59f09174ec4140acc2f6371c50,0, , , , 
3562, ,209,https://rarity.tools/rumble-kong-league/view/2620,2620,60,48,53,48,Gold,Red,Monk Robe,Drool,,,Bloodshot,,0xe50cd5f38cfd3b9d7c0c29ae56656fcef22b89bb,1,8/1/2021,0.1 ETH, , 
544, ,248,https://rarity.tools/rumble-kong-league/view/2621,2621,69,69,40,70,Gold,Pink,Striped Tee,Regular,,,Wide Scar,,0xd7fa22078d49c05cb548349b4d327c657f694b6d,1,8/4/2021,0.3369 ETH, , 
9391, ,149,https://rarity.tools/rumble-kong-league/view/2622,2622,59,43,24,23,Light Blue,Brown,Fusion Gi,Saber Toothed,Ski Glasses,,Angry,,0xa03c655f85f3cb01ba7124118bc57d60eaa4e2fd,3,8/5/2021,0.32 ETH, , 
14, ,291,https://rarity.tools/rumble-kong-league/view/2623,2623,64,89,71,67,Grey,Sky Blue,Dego Tee Blooded,Ooh,Cap Forward,Gem Earring,Wide,,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,0, , , , 
4360,3.2,202,https://rarity.tools/rumble-kong-league/view/2624,2624,64,46,37,55,Dark Blue,Black,RKL Tee,Gold Smirk,,,Regular,,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,0, , ,9/4/2021 21:42,3.2 ETH
1852, ,225,https://rarity.tools/rumble-kong-league/view/2625,2625,56,39,66,64,Purple,Brown,Shirt And Tie,Gold Scream,Purple Bandana,Vibe Glasses,Angry Scar,,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,0, , , , 
6385, ,186,https://rarity.tools/rumble-kong-league/view/2626,2626,51,38,52,45,Light Blue,Red,Cyan Jersey,Ooh,Winter Hat,,Angry,,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,0, , , , 
8760, ,161,https://rarity.tools/rumble-kong-league/view/2627,2627,12,75,48,26,Purple,Black,Hawaii Shirt,Tongue Out,,,Closed Scar,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
7062, ,180,https://rarity.tools/rumble-kong-league/view/2628,2628,53,24,49,54,Yellow,Black,,Cigar,,,Bloodshot,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
5362, ,194,https://rarity.tools/rumble-kong-league/view/2629,2629,46,44,54,50,Brown,White Noise,Red Kimono,Tongue Out,,,Wide,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
979, ,238,https://rarity.tools/rumble-kong-league/view/2630,2630,69,69,43,57,Gold,Sky Blue,,Shows Teeth,Blue Pigtails,,Angry Scar,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
9338, ,150,https://rarity.tools/rumble-kong-league/view/2631,2631,69,36,26,19,Brown,Red,Hawaii Shirt,Gold Smirk,,,Regular,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
4237, ,203,https://rarity.tools/rumble-kong-league/view/2632,2632,32,51,65,55,Dark Blue,White Noise,White Tee,Gold Smirk,,,Angry Wink,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
6505, ,185,https://rarity.tools/rumble-kong-league/view/2633,2633,55,47,39,44,Cyan,Red,,Regular,Blonde Bun,,Bloodshot,,0xfe2b3ed98ab59bc6ced75c314de06b937568a313,1,9/5/2021,1.75 ETH, , 
4237, ,203,https://rarity.tools/rumble-kong-league/view/2634,2634,77,46,50,30,Purple,Sky Blue,White Tee,Full Beard,Tophat,,Closed,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
8885, ,159,https://rarity.tools/rumble-kong-league/view/2635,2635,25,48,36,50,Dark Blue,Brown,,Scream,,,Angry,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
5231,3,195,https://rarity.tools/rumble-kong-league/view/2636,2636,60,69,64,2,Dark Blue,Grey,Navy Suit,Regular,Bowler,,Regular,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , ,8/31/2021 6:28,3.0 ETH
6955, ,181,https://rarity.tools/rumble-kong-league/view/2637,2637,48,34,44,55,Brown,Black,Hawaii Shirt,Missing Teeth,,,Regular,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
3562, ,209,https://rarity.tools/rumble-kong-league/view/2638,2638,63,57,45,44,Yellow,Sky Blue,RKL Tee,Ooh,Bowler,,Sad,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
4736, ,199,https://rarity.tools/rumble-kong-league/view/2639,2639,53,77,19,50,Grey,White Noise,Dego Tee Blooded,Regular,Blue Pigtails,,Wide Scar,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
5635, ,192,https://rarity.tools/rumble-kong-league/view/2640,2640,41,24,62,65,Purple,Green,Cyan Jersey,Missing Teeth,Blue Pigtails,,Regular,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
5499, ,193,https://rarity.tools/rumble-kong-league/view/2641,2641,40,38,58,57,Dark Blue,Grey,,Regular,Bowler,,Sad,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
3092, ,213,https://rarity.tools/rumble-kong-league/view/2642,2642,49,31,62,71,Brown,Grey,Monk Robe,Shows Teeth,Blonde Bun,,Wide,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
5776, ,191,https://rarity.tools/rumble-kong-league/view/2643,2643,38,48,37,68,Pink,Red,Fusion Gi,Regular,,,Regular,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
7176, ,179,https://rarity.tools/rumble-kong-league/view/2644,2644,47,32,59,41,Gold,Sky Blue,Cyan Jersey,Cigar,RKL Cap Sideways,,Regular,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
6015, ,189,https://rarity.tools/rumble-kong-league/view/2645,2645,60,55,35,39,Brown,Grey,Biker Jacket,Regular,Winter Hat,,Angry Wink,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
4360, ,202,https://rarity.tools/rumble-kong-league/view/2646,2646,35,76,31,60,Grey,Pink,,Full Beard,,,Wide Scar,,0xb6c5b1a489606028da263eda28063186f96fa921,0, , , , 
6739, ,183,https://rarity.tools/rumble-kong-league/view/2647,2647,38,59,47,39,Gold,Black,,Saber Toothed,Cap Forward,Monocle,Closed,,0x96236adb640ec620a85898378375cedf03ca21ff,1,8/3/2021,0.18 ETH, , 
4736, ,199,https://rarity.tools/rumble-kong-league/view/2648,2648,54,39,42,64,Cyan,Red,Dego Tee Blooded,Gold Smirk,,,Regular,,0x3fd26eda04344456a3768bb8504d24de81ee7b6b,2,9/3/2021,0.9 ETH, , 
5890,3,190,https://rarity.tools/rumble-kong-league/view/2649,2649,41,48,65,36,Cyan,Green,Cyan Jersey,Regular,Purple Bandana,,Angry Wink,,0xa27d34ade3f30cd3f7bea43a50538720e6763657,1,9/5/2021,1.7 ETH,9/6/2021 2:44,3.0 ETH
9462, ,147,https://rarity.tools/rumble-kong-league/view/2650,2650,43,35,33,36,Dark Blue,Sky Blue,White Tee,Shows Teeth,Blue Pigtails,,Wide,,0x2be212b27fd720eddbcd0e847f281e04d73ea4fa,1,9/4/2021,0.9 ETH, , 
4986, ,197,https://rarity.tools/rumble-kong-league/view/2651,2651,38,49,68,42,Light Grey,White Noise,Biker Jacket,Regular,RKL Cap Forward,,Regular,,0x6c5d97f8629574e9bdcbe8bb5af7a191b83a900d,1,8/31/2021,0.85 ETH, , 
8006, ,171,https://rarity.tools/rumble-kong-league/view/2652,2652,37,53,31,50,Purple,Sky Blue,Dego Tee Blooded,Gold Saber Toothed,Beanie,Blue Shades,Angry,,0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d,0, , , , 
6276, ,187,https://rarity.tools/rumble-kong-league/view/2653,2653,45,58,39,45,Yellow,Grey,Shaolin Vest,Regular,RKL Cap Sideways,,Closed,,0x1a121d520d05657deac483ac5c315944f6cef723,1,9/1/2021,0.91 ETH, , 
920,4.2,239,https://rarity.tools/rumble-kong-league/view/2654,2654,51,65,78,45,Pink,Grey,Shirt And Tie,Kiss,,,Regular,,0xf3a251f6cb52c72ca8f7f41b29530be5c3f538f2,2,9/4/2021,1.8 ETH,9/4/2021 22:03,4.2 ETH
8477, ,165,https://rarity.tools/rumble-kong-league/view/2655,2655,51,23,32,59,Light Grey,Brown,Dego Tee Blooded,Saber Toothed,,,Closed Scar,,0x49612fd70fec2406c77a10a2926f39923d234c5b,1,9/5/2021,1.63 ETH, , 
4486, ,201,https://rarity.tools/rumble-kong-league/view/2656,2656,45,63,43,50,Dark Blue,Pink,Fusion Gi,Cigar,,,Wide,,0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d,0, , , , 
212, ,262,https://rarity.tools/rumble-kong-league/view/2657,2657,63,63,56,80,Brown,Grey,Trippy Tee,Saber Toothed,,,Angry Scar,,0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d,0, , , , 
4610, ,200,https://rarity.tools/rumble-kong-league/view/2658,2658,48,47,63,42,Dark Blue,Red,Biker Jacket,Saber Toothed,,,Wide,,0x35bdb91ab447be1b294d876166b5eaf9ca6f57cc,2,9/1/2021,0.9599 ETH, , 
8704, ,162,https://rarity.tools/rumble-kong-league/view/2659,2659,50,52,38,22,Pink,Sky Blue,Cyan Jersey,Regular,,,Wide Scar,,0x0981a4c57b4bbfb255f6902fe34eca5454658339,1,8/6/2021,0.4 ETH, , 
8405, ,166,https://rarity.tools/rumble-kong-league/view/2660,2660,27,38,70,31,Cyan,Black,Cheetah Dego Tee,Gold Saber Toothed,Winter Hat,,Angry Scar,,0xb536dbabac7e3dd883a8900b24a29b65d48d33ee,0, , , , 
2572, ,218,https://rarity.tools/rumble-kong-league/view/2661,2661,45,70,58,45,Pink,Red,Biker Jacket,Shows Teeth,RKL Cap Sideways,,Regular,,0xb536dbabac7e3dd883a8900b24a29b65d48d33ee,0, , , , 
6854, ,182,https://rarity.tools/rumble-kong-league/view/2662,2662,79,50,19,34,Light Grey,Brown,Tracksuit,Shows Teeth,Chopsticks Bun,,Closed Scar,,0xb536dbabac7e3dd883a8900b24a29b65d48d33ee,0, , , , 
249, ,260,https://rarity.tools/rumble-kong-league/view/2663,2663,77,36,92,55,Gold,Grey,White Tee,Full Beard,,,Sad,,0xb536dbabac7e3dd883a8900b24a29b65d48d33ee,0, , , , 
8160, ,169,https://rarity.tools/rumble-kong-league/view/2664,2664,35,38,45,51,Cyan,White Noise,Tracksuit,Regular,RKL Cap Forward,,Closed,,0xb536dbabac7e3dd883a8900b24a29b65d48d33ee,0, , , , 
5635, ,192,https://rarity.tools/rumble-kong-league/view/2665,2665,53,56,42,41,Brown,Brown,Striped Tee,Ooh,,,Closed,,0x24442ed936be9a2cd97377fbd8a225091aef612c,0, , , , 
67, ,275,https://rarity.tools/rumble-kong-league/view/2666,2666,61,58,84,72,Red,Sky Blue,White Tee,Gold Smirk,Blonde Bun,,Angry,,0x24442ed936be9a2cd97377fbd8a225091aef612c,0, , , , 
2669, ,217,https://rarity.tools/rumble-kong-league/view/2667,2667,70,55,32,60,Light Grey,White Noise,,Full Beard,,,Angry,,0x24442ed936be9a2cd97377fbd8a225091aef612c,0, , , , 
1377, ,231,https://rarity.tools/rumble-kong-league/view/2668,2668,54,71,48,58,Grey,Pink,Dress,Cigar,,,Regular,,0x24442ed936be9a2cd97377fbd8a225091aef612c,0, , , , 
4237, ,203,https://rarity.tools/rumble-kong-league/view/2669,2669,53,65,42,43,Gold,Brown,Striped Tee,Kiss,Beanie,Gold Stud,Wide,,0x24442ed936be9a2cd97377fbd8a225091aef612c,0, , , , 
8626, ,163,https://rarity.tools/rumble-kong-league/view/2670,2670,39,46,50,28,Grey,Black,,Kiss,,,Sad,,0x24442ed936be9a2cd97377fbd8a225091aef612c,0, , , , 
7176, ,179,https://rarity.tools/rumble-kong-league/view/2671,2671,30,30,51,68,Yellow,Brown,,Scream,Russian Cap,,Wide,,0x24442ed936be9a2cd97377fbd8a225091aef612c,0, , , , 
6385,15,186,https://rarity.tools/rumble-kong-league/view/2672,2672,62,51,31,42,Light Blue,Pink,,Scream,Beanie,,Closed Scar,,0x468218136d1a25ab9eeb1e8fcfce789090855880,0, , ,8/24/2021 0:01,15.0 ETH
8626, ,163,https://rarity.tools/rumble-kong-league/view/2673,2673,51,46,66,0,Gold,Black,Cyan Jersey,Cigar,RKL Cap Sideways,,Sad,,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,0, , , , 
1208, ,234,https://rarity.tools/rumble-kong-league/view/2674,2674,84,55,39,56,Gold,Grey,Red Kimono,Regular,Blue Pigtails,Broken Glasses,Wide,,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,0, , , , 
779, ,242,https://rarity.tools/rumble-kong-league/view/2675,2675,64,65,49,64,Dark Blue,Brown,White Tee,Gold Saber Toothed,Ski Glasses,,Bloodshot,,0x7819d3acdb012c4ae5b0954c712a576566d30807,0, , , , 
881,20,240,https://rarity.tools/rumble-kong-league/view/2676,2676,60,44,68,68,Yellow,Green,Tracksuit,Regular,Ski Glasses,,Closed,,0x6c8917547a0dd8d3a9658de9176837cfa9dd8933,0, , ,9/5/2021 20:44,20.0 ETH
7737, ,174,https://rarity.tools/rumble-kong-league/view/2677,2677,51,46,33,44,Light Grey,Pink,Dress,Missing Teeth,,,Angry,,0xa1f67560d1b286384a964a6aee190795ad07774b,1,8/16/2021,0.22 ETH, , 
5231, ,195,https://rarity.tools/rumble-kong-league/view/2678,2678,67,48,21,59,Light Blue,White Noise,Green Kimono,Gold Smirk,Blonde Bun,,Wide,,0xc00b8adf3953bb443acbf6ed7ccec9078d895074,1,8/23/2021,0.42 ETH, , 
7624, ,175,https://rarity.tools/rumble-kong-league/view/2679,2679,48,27,67,33,Gold,Red,Shaolin Vest,Regular,RKL Cap Sideways,,Sad,,0x119b49a1c266c67656d098c320b697cc5ce94c43,2,8/23/2021,0.33 ETH, , 
3443, ,210,https://rarity.tools/rumble-kong-league/view/2680,2680,33,59,58,60,Pink,Green,Fusion Gi,Ooh,Horse Jockey Hat,Red Shades,Angry Scar,,0x3ef82638b94b442c40a16309868ef3664aeb0b8d,1,8/6/2021,1.5 ETH, , 
6149, ,188,https://rarity.tools/rumble-kong-league/view/2681,2681,30,47,48,63,Pink,Black,RKL Tee,Gold Smirk,Chopsticks Bun,,Regular,,0xa941b8249d52f0e556891ced8ec56724e35b09cf,0, , , , 
5499, ,193,https://rarity.tools/rumble-kong-league/view/2682,2682,31,64,46,52,Red,Brown,Yellow Suit,Scream,,,Wide,,0x13213bb43c344e7756d764113d3a36f50f8fda0a,1,9/1/2021,1.1 ETH, , 
2874, ,215,https://rarity.tools/rumble-kong-league/view/2683,2683,26,58,66,65,Grey,Green,Shaolin Vest,Regular,Blonde Bun,,Angry Wink,,0x22938208e888655c9ad3c781f7247e2357a2ab4a,1,8/24/2021,0.6 ETH, , 
2031, ,223,https://rarity.tools/rumble-kong-league/view/2684,2684,54,36,78,55,Dark Blue,Red,Shirt And Tie,Full Beard,,,Sad,,0x3a562c2e407108a3d6756cd5a59a7bcbe503bf3a,1,9/14/2021,2.0 ETH, , 
3306, ,211,https://rarity.tools/rumble-kong-league/view/2685,2685,51,55,64,41,Brown,Black,Dego Tee Blooded,Scream,King Band,Monocle,Angry Wink,,0x9ab7adae1579ea2843742e6618433995b0f51044,1,8/26/2021,1.3 ETH, , 
8249, ,168,https://rarity.tools/rumble-kong-league/view/2686,2686,65,15,39,49,Dark Blue,Brown,White Tee,Regular,RKL Cap Forward,,Regular,,0x7a7e1fc524ad7aec2bd4d58e417e40bb838cbd52,1,8/25/2021,0.5 ETH, , 
3562, ,209,https://rarity.tools/rumble-kong-league/view/2687,2687,53,47,52,57,Pink,Brown,Shirt And Tie,Tongue Out,Horse Jockey Hat,,Angry,,0xc41731690d03be2844b25a8e1f1de7906adfb417,1,8/25/2021,0.7 ETH, , 
2777, ,216,https://rarity.tools/rumble-kong-league/view/2688,2688,49,44,70,53,Yellow,Pink,Cheetah Dego Tee,Scream,Ski Glasses,Gold Stud,Wide Scar,,0xee47086e3f4e934b38eed62389874af9a250dca7,0, , , , 
2367, ,220,https://rarity.tools/rumble-kong-league/view/2689,2689,48,44,44,84,Cyan,Sky Blue,Cheetah Dego Tee,Scream,Purple Bandana,,Bloodshot,,0x190256bcd568768866ed408f2c25cf9404366fd6,2,8/29/2021,0.92 ETH, , 
1852, ,225,https://rarity.tools/rumble-kong-league/view/2690,2690,39,79,39,68,Gold,White Noise,,Scream,,,Angry Wink,,0x431dfb184a8c49dd803938432a8211010d0c4182,1,8/9/2021,0.5 ETH, , 
3191, ,212,https://rarity.tools/rumble-kong-league/view/2691,2691,46,59,75,32,Pink,Brown,Tracksuit,Scream,,,Regular,,0xb4c628524c0ba86fd8b8bb4376d1a36eec63ae5b,2,8/11/2021,0.29 ETH, , 
2989, ,214,https://rarity.tools/rumble-kong-league/view/2692,2692,44,58,38,74,Red,Sky Blue,Trippy Tee,Regular,,,Angry,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,2,8/11/2021,0.35 ETH, , 
233, ,261,https://rarity.tools/rumble-kong-league/view/2693,2693,56,55,73,77,Dark Blue,Brown,Dego Tee Blooded,Gold Scream,,,Bloodshot,,0xf2e4c3a8a80e068c2b473079495ca7e68d2e04b8,1,8/10/2021,0.65 ETH, , 
9903, ,125,https://rarity.tools/rumble-kong-league/view/2694,2694,29,26,43,27,Purple,Pink,White Tee,Kiss,Blonde Bun,,Closed,,0x144c6600127b5f744a32c3c893bf941d60db8837,2,8/12/2021,0.3 ETH, , 
3999, ,205,https://rarity.tools/rumble-kong-league/view/2695,2695,30,55,45,75,Light Grey,Pink,,Gold Saber Toothed,Blonde Bun,,Regular,,0x4838b0aa50c7f8fa9a14bc95d6c6ba65aa57d861,2,8/6/2021,0.723 ETH, , 
5890, ,190,https://rarity.tools/rumble-kong-league/view/2696,2696,29,79,51,31,Dark Blue,Black,Shaolin Vest,Regular,Russian Cap,,Angry Wink,,0x12b6b076b169ca1d25b7ac5dec436ea8067b0cf6,2,8/26/2021,0.475 ETH, , 
779, ,242,https://rarity.tools/rumble-kong-league/view/2697,2697,54,71,54,63,Dark Blue,Green,White Tee,Regular,Winter Hat,,Angry Scar,,0x7096f35c640cd0edfde78094c8a72f3d08179ad7,1,8/5/2021,0.179 ETH, , 
1691, ,227,https://rarity.tools/rumble-kong-league/view/2698,2698,56,87,50,34,Purple,Grey,Striped Tee,Ooh,Blonde Bun,Broken Glasses,Regular,,0xf46a3031576d7b6186b715125a56bbd70997d0fa,2,9/4/2021,1.4 ETH, , 
368, ,254,https://rarity.tools/rumble-kong-league/view/2699,2699,73,50,90,41,Dark Blue,Pink,Shirt And Tie,Regular,Beanie,Broken Glasses,Closed Scar,,0x9ddbd7ea8415fd3b0d78f020d0fcfa7caaf88fce,3,9/8/2021,5.75 ETH, , 
6276, ,187,https://rarity.tools/rumble-kong-league/view/2700,2700,23,67,43,54,Gold,White Noise,Dego Tee Blooded,Missing Teeth,RKL Cap Forward,,Regular,,0x6c5d97f8629574e9bdcbe8bb5af7a191b83a900d,3,8/31/2021,1.0 ETH, , 
9105, ,155,https://rarity.tools/rumble-kong-league/view/2701,2701,58,9,54,34,Yellow,Red,,Missing Teeth,Tophat,,Bloodshot,,0x0f9fa6b0581b860a50f0fe17d83a373a83ce0be9,2,8/22/2021,0.38 ETH, , 
881, ,240,https://rarity.tools/rumble-kong-league/view/2702,2702,53,57,53,77,Pink,Green,,Regular,Bowler,Red Shades,Wide Scar,,0x54fa9bdcedec570d3879265aa6aee64de815b025,0, , , , 
3191, ,212,https://rarity.tools/rumble-kong-league/view/2703,2703,46,59,60,47,Grey,Green,Biker Jacket,Missing Teeth,RKL Cap Forward,Red Shades,Wide,,0x14c34cdd95d4b27c1ee912fe0ee5d4258d5a33a9,1,8/31/2021,1.27 ETH, , 
7524, ,176,https://rarity.tools/rumble-kong-league/view/2704,2704,41,41,37,57,Grey,Brown,White Tee,Shows Teeth,Ski Glasses,Monocle,Wide,,0xa0d13db74428d5a117659927a697d165c23eb668,0, , , , 
8626, ,163,https://rarity.tools/rumble-kong-league/view/2705,2705,47,51,45,20,Light Grey,Grey,,Tongue Out,,,Closed Scar,,0x179456bf16752fe5eb8789148e5c98eb39d87fe5,1,8/13/2021,0.299 ETH, , 
9496, ,146,https://rarity.tools/rumble-kong-league/view/2706,2706,33,31,40,42,Purple,White Noise,Fusion Gi,Missing Teeth,,,Angry Scar,,0x3a2cc50571d8032967e0b54219c1c405f15a7dcd,2,9/15/2021,1.11 ETH, , 
2461, ,219,https://rarity.tools/rumble-kong-league/view/2707,2707,63,79,38,39,Purple,Sky Blue,,Referee,Beanie,,Regular,,0x0417926c1504f17892cff3b0d0feeda89c711fce,1,8/13/2021,0.299 ETH, , 
6854, ,182,https://rarity.tools/rumble-kong-league/view/2708,2708,27,22,73,60,Light Blue,Black,,Shows Teeth,,Blue Shades,Angry,,0x720a4fab08cb746fc90e88d1924a98104c0822cf,0, , , , 
5776, ,191,https://rarity.tools/rumble-kong-league/view/2709,2709,26,55,67,43,Red,Grey,Fusion Gi,Tongue Out,,,Angry Scar,,0x720a4fab08cb746fc90e88d1924a98104c0822cf,0, , , , 
2146, ,222,https://rarity.tools/rumble-kong-league/view/2710,2710,42,51,56,73,Pink,Green,Green Kimono,Gold Scream,RKL Cap Sideways,Red Shades,Sad,,0x720a4fab08cb746fc90e88d1924a98104c0822cf,0, , , , 
2367, ,220,https://rarity.tools/rumble-kong-league/view/2711,2711,56,51,57,56,Light Grey,Brown,Biker Jacket,Scream,,,Regular,,0x720a4fab08cb746fc90e88d1924a98104c0822cf,0, , , , 
5890, ,190,https://rarity.tools/rumble-kong-league/view/2712,2712,18,49,57,66,Pink,Brown,Hawaii Shirt,Shows Teeth,RKL Cap Sideways,,Closed Scar,,0x720a4fab08cb746fc90e88d1924a98104c0822cf,0, , , , 
